Requirements,project Category,Requirement Category,Risk Target Category,Probability,Magnitude of Risk,Impact,Dimension of Risk,Afftecting No of Modules,Fixing Duration (Days),Fix Cost (\% of Project),Priority,Risk Level
The system shall display all the products that can be configured.,Transaction Processing System,Functional,Budget,10.0,Negligible,high,Requirements,9.0,1.0,10.0,95.715385,5
The system shall allow user to select the product to configure.,Transaction Processing System,Functional,Quality,22.0,Very Low,catastrophic,Requirements,7.0,2.0,11.0,35.9,2
The system shall display all the available components of the product to configure,Transaction Processing System,Functional,Schedule,33.0,Low,high,User,5.0,1.0,3.0,35.692308,2
The system shall enable user to add one or more component to the configuration.,Transaction Processing System,Functional,Personal,40.0,Medium,moderate,Project complexity,8.0,3.0,2.0,44.1,3
The system shall notify the user about any conflict in the current configuration.,Transaction Processing System,Functional,Budget,100.0,High,Low,planning and control,4.0,2.0,1.0,85.776923,5
The system shall allow user to update the configuration to resolve conflict in the current configuration.,Transaction Processing System,Functional,Performance,55.0,Very High,insignificant,Team,6.0,4.0,4.0,56.453846,3
The system shall allow user to confirm the completion of current configuration,Transaction Processing System,Functional,FunctionalValidity,44.0,Extreme,moderate,Organizational Environment,2.0,1.0,2.0,41.530769,3
The system shall display detailed information of the selected products.,Transaction Processing System,Functional,Performance,67.0,High,high,User,5.0,2.0,1.0,61.261538,3
The system shall provide browsing options to see product details.,Transaction Processing System,Functional,FunctionalValidity,23.0,Medium,moderate,Project complexity,4.0,3.0,2.0,28.284615,2
The system shall display detailed product categorization to the user.,Transaction Processing System,Functional,Performance,12.0,Negligible,Low,User,3.0,4.0,1.0,18.223077,1
The system shall enable user to enter the search text on the screen.,Transaction Processing System,Functional,Quality,10.0,Very Low,moderate,User,2.0,5.0,2.0,17.692308,1
The system shall enable user to select multiple options on the screen to search.,Transaction Processing System,Functional,Performance,12.0,High,insignificant,Project complexity,1.0,2.0,1.0,15.707692,1
The system shall display all the matching products based on the search,Transaction Processing System,Functional,Quality,32.0,Very Low,moderate,User,2.0,1.0,2.0,31.538462,2
The system shall display only 10 matching result on the current screen.,Transaction Processing System,Functional,FunctionalValidity,22.0,Negligible,Low,Requirements,4.0,2.0,1.0,25.438462,2
The system shall enable user to navigate between the search results.,Transaction Processing System,Functional,FunctionalValidity,12.0,Very Low,insignificant,Requirements,3.0,1.0,3.0,17.707692,1
